Brand,Model,Vehicle Class,CO₂ g/km (max),Engine Size L,Price Proxy CAD,CA Sales 2026 Jan–Feb,CA Brand Total,CA Sales Share,Fuel Type [CA],Transmission [CA],Class Avg CO₂,Class Avg MPG,Class Avg Engine L,Class Avg Cylinders,Demand Target Units,Revenue Target CAD,Brand Benchmark CAD,Price Index (class),Powertrain Type,Cylinders,Max Power PS (max),Max Torque Nm (max),Drive Config,Seats (max),co2_penalty,price_penalty,engine_penalty,business_score,business_index,business_rank,cluster
LEXUS,UX,Subcompact SUV,168.0,2.0,48082.455035265884,199.0,4217.0,0.047189945458857005,X,AS10 | AV6,197.065491183879,35.8448275862069,2.68539042821158,4.83123425692695,25568.5793147208,1229400065.2156923,50815.0,0.946225623049609,Hybrid Electric (HEV),4.0,152.0,188.0,"FF (Front-Engine, Front-Wheel Drive)",5.0,0.0,0.5473492477395051,0.11904761904761904,0.2153817605183506,78.46182394816495,11,2
HONDA,CR-V,Compact SUV,216.0,2.4,31229.3483145723,7886.0,15583.0,0.5060643008406597,X,A5 / AV,225.090395480226,29.7485875706215,2.7225988700565,4.74011299435028,58251.7165705223,1819163146.70258,31316.0,0.997232989991451,Diesel / Hybrid Electric (HEV) / Petrol / Plug-in Hybrid (PHEV),4.0,193.0,340.0,"FF (Front-Engine, Front-Wheel Drive) / FF/AWD (Front-Engine, All-Wheel Drive)",7.0,0.21145374449339208,0.23011902478508786,0.21428571428571425,0.21855298655395003,78.144701344605,12,2
MITSUBISHI,ASX,Subcompact SUV,223.0,2.4,29715.54863576526,1166.0,3195.0,0.3649452269170579,X,AV6 | M5,225.090395480226,29.7485875706215,2.7225988700565,4.74011299435028,54789.8128172589,1628109347.5157316,29798.0,0.997232989991451,,4.0,,,,,0.2422907488986784,0.20162439660910728,0.21428571428571425,0.22245651867473568,77.75434813252643,13,2
SUBARU,FORESTER,Compact SUV,228.0,2.5,29612.8336377961,2126.0,10038.0,0.211795178322375,X / Z,AV / AV6 / AV7 / AV8 / M6,225.090395480226,29.7485875706215,2.7225988700565,4.74011299435028,70355.3469550309,2083421184.90876,29695.0,0.997232989991451,Hybrid Electric (HEV) / Petrol,4.0,183.0,241.0,"FF/AWD (Front-Engine, All-Wheel Drive)",5.0,0.2643171806167401,0.19969096663405647,0.23809523809523808,0.23645361721850044,76.35463827814995,14,2
MITSUBISHI,OUTLANDER,Compact SUV,248.0,3.0,29715.5486357652,1620.0,3195.0,0.5070422535211268,X / Z,A6 / AS6 / AV6,225.090395480226,29.7485875706215,2.7225988700565,4.74011299435028,60636.7934557138,1801855585.05012,29798.0,0.997232989991451,Petrol / Plug-in Hybrid Electric (PHEV),6.0,251.0,450.0,"FF (Front-Engine, Front-Wheel Drive) / FF/AWD (Front-Engine, All-Wheel Drive)",7.0,0.3524229074889868,0.2016243966091062,0.35714285714285715,0.30058741861180266,69.94125813881973,15,0
TOYOTA,VENZA,Mid-size SUV,263.0,3.5,23604.5048730976,,,,X,AS6,225.090395480226,29.7485875706215,2.7225988700565,4.74011299435028,59784.7810496323,1411190155.62312,23670.0,0.997232989991451,Hybrid Electric (HEV) / Petrol,6.0,222.0,221.0,"FF (Front-Engine, Front-Wheel Drive) / FF/AWD (Front-Engine, All-Wheel Drive)",5.0,0.4185022026431718,0.08659469867603212,0.47619047619047616,0.31387223096413375,68.61277690358662,16,0
NISSAN,MURANO,Mid-size SUV,271.0,3.5,24555.4590969764,1122.0,9331.0,0.12024434680098596,X,AV / AV7,225.090395480226,34.7647058823529,3.0,5.41176470588235,40562.7975325567,966687479.673112,23898.0,1.02751105100747,Petrol,6.0,244.0,353.0,"FF (Front-Engine, Front-Wheel Drive) / FF/AWD (Front-Engine, All-Wheel Drive)",5.0,0.45374449339207046,0.10449474674788702,0.47619047619047616,0.3359962786262874,66.40037213737126,17,0
SUBARU,ASCENT,Mid-size SUV,244.0,2.4,41393.3118662301,8.0,10038.0,0.0007969715082685794,X,AV8,286.96511627907,24.5697674418605,4.22790697674418,6.55813953488372,2435.10279187817,100796969.290541,29695.0,1.39394887577808,Petrol,4.0,264.0,375.0,"FF/AWD (Front-Engine, All-Wheel Drive)",8.0,0.33480176211453744,0.4214378407772694,0.21428571428571425,0.341021180080729,65.8978819919271,18,2
HONDA,PASSPORT,Mid-size SUV,265.0,3.5,31229.3483145723,508.0,15583.0,0.032599627799525126,X,A9 / AS9,225.090395480226,29.7485875706215,2.7225988700565,4.74011299435028,39463.5170095435,1232419918.40908,31316.0,0.997232989991451,Petrol,6.0,289.0,355.0,"FF/AWD (Front-Engine, All-Wheel Drive)",5.0,0.42731277533039647,0.23011902478508786,0.47619047619047616,0.3680705028115544,63.19294971884456,19,0
NISSAN,PATHFINDER,Mid-size SUV,259.0,3.5,33312.5902333446,747.0,9331.0,0.08005572821776873,X,AV,286.96511627907,29.7485875706215,4.22790697674418,6.55813953488372,46551.6418634657,1109412863.1419,23898.0,1.39394887577808,Petrol,6.0,299.0,366.0,"FF (Front-Engine, Front-Wheel Drive) / FF/AWD (Front-Engine, All-Wheel Drive)",8.0,0.4008810572687225,0.2693324059920471,0.47619047619047616,0.36990091310623685,63.00990868937632,20,0
SUBARU,OUTBACK,Mid-size SUV,269.0,3.6,29612.8336377961,1705.0,10038.0,0.16985455269974098,X,AS5 / AV / AV6 / AV7 / AV8 / M6,225.090395480226,29.7485875706215,2.7225988700565,4.74011299435028,70541.8647322625,2088944504.81641,29695.0,0.997232989991451,Petrol,6.0,264.0,375.0,"FF/AWD (Front-Engine, All-Wheel Drive)",5.0,0.44493392070484583,0.19969096663405647,0.5,0.37011210263910044,62.988789736089956,21,0
LEXUS,NX,Compact SUV,232.0,2.5,50674.3943864156,1559.0,4217.0,0.36969409532843256,X / Z,AS6 / AV6,225.090395480226,29.7485875706215,2.7225988700565,4.74011299435028,50490.7893907661,2558590174.46913,50815.0,0.997232989991451,Hybrid Electric (HEV) / Petrol / Plug-in Hybrid (PHEV),4.0,203.0,241.0,"FF (Front-Engine, Front-Wheel Drive) / FF/AWD (Front-Engine, All-Wheel Drive)",5.0,0.28193832599118945,0.5961379673433476,0.23809523809523808,0.3831395828852545,61.68604171147455,22,2
HONDA,PILOT,Mid-size SUV,276.0,3.5,31229.3483145723,886.0,15583.0,0.0568568311621639,X,A5 / A6 / AS9,225.090395480226,29.7485875706215,2.7225988700565,4.74011299435028,41438.7998134732,1294106713.11279,31316.0,0.997232989991451,Petrol,6.0,289.0,355.0,"FF (Front-Engine, Front-Wheel Drive) / FF/AWD (Front-Engine, All-Wheel Drive)",8.0,0.47577092511013214,0.23011902478508786,0.47619047619047616,0.38987667021243544,61.012332978756454,23,0
MAZDA,CX-90,Mid-size SUV,292.0,3.7,25180.1329972841,1102.0,9613.0,0.11463642983459899,X,AS6,225.090395480226,29.7485875706215,2.7225988700565,4.74011299435028,58194.937461735,1465356265.05512,25250.0,0.997232989991451,Petrol,6.0,268.0,360.0,"FF (Front-Engine, Front-Wheel Drive) / FF/AWD (Front-Engine, All-Wheel Drive)",7.0,0.5462555066079295,0.11625313907000377,0.5238095238095238,0.3912654814099744,60.87345185900256,24,0
TOYOTA,HIGHLANDER,Mid-size SUV,272.0,3.5,32994.7698896672,1299.0,19154.0,0.0678187323796596,X,AS6 / AS8 / AV / AV6,286.96511627907,29.7485875706215,4.22790697674418,6.55813953488372,88294.618096537,2913260606.59128,23670.0,1.39394887577808,Hybrid Electric (HEV) / Petrol,6.0,248.0,380.0,"FF (Front-Engine, Front-Wheel Drive) / FF/AWD (Front-Engine, All-Wheel Drive)",7.0,0.4581497797356828,0.2633499945497441,0.47619047619047616,0.3935779942115629,60.642200578843706,25,0
SUBARU,TRIBECA,Mid-size SUV,301.0,3.6,29612.8336377961,,,,X,AS5,225.090395480226,29.7485875706215,2.7225988700565,4.74011299435028,45196.8308934725,1338406234.20401,29695.0,0.997232989991451,Petrol,6.0,262.0,351.0,"FF/AWD (Front-Engine, All-Wheel Drive)",7.0,0.5859030837004405,0.19969096663405647,0.5,0.43354822598711795,56.64517740128821,26,0
